2018-12-14 17:41:22.813771=415.4994487762451
2018-12-14 17:41:23.065715=466.0911560058594
2018-12-14 17:41:23.226670=426.56421661376953
2018-12-14 17:41:23.354727=353.89018058776855
2018-12-14 17:41:23.567648=366.0304546356201
2018-12-14 17:41:23.763125=360.36014556884766
2018-12-14 17:41:24.015346=411.16786003112793
2018-12-14 17:41:24.156518=351.0913848876953
2018-12-14 17:41:24.415197=408.32066535949707
2018-12-14 17:41:24.667534=460.4158401489258
2018-12-14 17:41:24.785991=378.16810607910156
2018-12-14 17:41:24.815993=28.956890106201172
2018-12-14 17:41:24.978148=368.7777519226074
2018-12-14 17:41:25.183309=373.197078704834
2018-12-14 17:41:25.387783=376.8913745880127
2018-12-14 17:41:25.592883=380.7520866394043
2018-12-14 17:41:25.797150=383.78000259399414
2018-12-14 17:41:25.956118=341.4032459259033
2018-12-14 17:41:26.173799=358.3073616027832
2018-12-14 17:41:26.473922=457.40818977355957
2018-12-14 17:41:26.589064=371.76060676574707
2018-12-14 17:41:26.824455=407.0613384246826
2018-12-14 17:41:26.961086=342.7309989929199
2018-12-14 17:41:27.159073=339.7560119628906
2018-12-14 17:41:27.431514=411.36693954467773
2018-12-14 17:41:27.680437=460.0996971130371
2018-12-14 17:41:27.798438=375.34499168395996
2018-12-14 17:41:27.969509=346.663236618042
2018-12-14 17:41:28.165840=342.7870273590088
2018-12-14 17:41:28.431299=407.9737663269043
2018-12-14 17:41:28.635096=410.48264503479004
2018-12-14 17:41:28.835324=410.3658199310303
2018-12-14 17:41:29.033691=407.459020614624
2018-12-14 17:41:29.180664=353.7261486053467
2018-12-14 17:41:29.382919=355.15427589416504
2018-12-14 17:41:29.565188=335.91270446777344
2018-12-14 17:41:29.794894=365.1857376098633
2018-12-14 17:41:30.086369=455.2950859069824
2018-12-14 17:41:30.198259=365.83876609802246
2018-12-14 17:41:30.411066=377.8076171875
2018-12-14 17:41:30.610070=376.14917755126953
2018-12-14 17:41:30.641967=31.04996681213379
2018-12-14 17:41:30.779237=345.3190326690674
2018-12-14 17:41:30.981128=345.8833694458008
2018-12-14 17:41:31.224619=388.0176544189453
2018-12-14 17:41:31.387345=349.34139251708984
2018-12-14 17:41:31.414544=26.246309280395508
