2018-12-14 17:47:00.046636=461.3838195800781
2018-12-14 17:47:00.176776=391.2966251373291
2018-12-14 17:47:00.349678=363.18373680114746
2018-12-14 17:47:00.529718=342.26179122924805
2018-12-14 17:47:00.753883=365.88573455810547
2018-12-14 17:47:00.953891=364.9015426635742
2018-12-14 17:47:01.158684=368.29686164855957
2018-12-14 17:47:01.363425=372.20311164855957
2018-12-14 17:47:01.568014=376.36518478393555
2018-12-14 17:47:01.801464=393.787145614624
2018-12-14 17:47:02.032472=439.6095275878906
2018-12-14 17:47:02.204742=411.2539291381836
2018-12-14 17:47:02.355672=360.67843437194824
2018-12-14 17:47:02.592916=396.697998046875
2018-12-14 17:47:02.741963=344.9826240539551
2018-12-14 17:47:03.001997=400.9284973144531
2018-12-14 17:47:03.146527=345.3216552734375
2018-12-14 17:47:03.417207=407.6576232910156
2018-12-14 17:47:03.558180=348.1874465942383
2018-12-14 17:47:03.820724=409.96360778808594
2018-12-14 17:47:03.962441=350.358247756958
2018-12-14 17:47:04.186052=373.06809425354004
2018-12-14 17:47:04.418392=405.41601181030273
2018-12-14 17:47:04.556884=343.0061340332031
2018-12-14 17:47:04.755381=341.6306972503662
2018-12-14 17:47:04.960494=345.35670280456543
2018-12-14 17:47:05.224189=408.2155227661133
2018-12-14 17:47:05.358577=341.3195610046387
2018-12-14 17:47:05.559892=340.9299850463867
2018-12-14 17:47:05.831998=411.9093418121338
2018-12-14 17:47:06.032666=411.30828857421875
2018-12-14 17:47:06.192148=370.12457847595215
2018-12-14 17:47:06.380178=357.7466011047363
2018-12-14 17:47:06.565725=342.96178817749023
2018-12-14 17:47:06.791456=367.74134635925293
2018-12-14 17:47:06.995230=371.0293769836426
2018-12-14 17:47:07.203189=377.4683475494385
2018-12-14 17:47:07.404854=377.7616024017334
2018-12-14 17:47:07.608695=381.07824325561523
2018-12-14 17:47:07.815689=386.56067848205566
2018-12-14 17:47:08.019528=389.6188735961914
2018-12-14 17:47:08.174141=343.5831069946289
2018-12-14 17:47:08.429365=397.94015884399414
2018-12-14 17:47:08.567099=335.74438095092773
2018-12-14 17:47:08.775147=338.5052680969238
2018-12-14 17:47:08.978892=341.5389060974121
2018-12-14 17:47:09.196866=358.13403129577637
2018-12-14 17:47:09.404788=364.9725914001465
2018-12-14 17:47:09.616818=376.5120506286621
2018-12-14 17:47:09.853223=412.07075119018555
2018-12-14 17:47:09.984161=341.4726257324219
2018-12-14 17:47:10.251436=407.11212158203125
2018-12-14 17:47:10.395993=350.7392406463623
2018-12-14 17:47:10.597402=352.1902561187744
2018-12-14 17:47:10.857305=411.0686779022217
2018-12-14 17:47:10.992623=344.13886070251465
2018-12-14 17:47:11.259229=410.08543968200684
2018-12-14 17:47:11.393112=342.6165580749512
2018-12-14 17:47:11.606286=355.3898334503174
2018-12-14 17:47:11.808525=356.16207122802734
2018-12-14 17:47:12.012948=360.86106300354004
2018-12-14 17:47:12.217625=363.8746738433838
2018-12-14 17:47:12.422400=368.7465190887451
2018-12-14 17:47:12.627176=372.34044075012207
2018-12-14 17:47:12.653110=24.953842163085938
2018-12-14 17:47:12.812583=357.2344779968262
2018-12-14 17:47:13.011043=354.79164123535156
2018-12-14 17:47:13.242256=384.98806953430176
2018-12-14 17:47:13.446604=388.5161876678467
2018-12-14 17:47:13.650472=390.0103569030762
2018-12-14 17:47:13.805980=343.6169624328613
2018-12-14 17:47:14.016208=353.2531261444092
2018-12-14 17:47:14.233350=368.84045600891113
2018-12-14 17:47:14.471962=406.9323539733887
2018-12-14 17:47:14.612042=347.0926284790039
2018-12-14 17:47:14.874880=408.68330001831055
2018-12-14 17:47:15.007880=341.39156341552734
2018-12-14 17:47:15.226965=357.8500747680664
2018-12-14 17:47:15.428099=357.2375774383545
2018-12-14 17:47:15.620511=348.59466552734375
2018-12-14 17:47:15.880934=407.76515007019043
2018-12-14 17:47:16.021700=347.6424217224121
2018-12-14 17:47:16.224990=350.452184677124
2018-12-14 17:47:16.415270=340.29459953308105
2018-12-14 17:47:16.625564=350.39377212524414
2018-12-14 17:47:16.835005=358.22296142578125
2018-12-14 17:47:17.052327=376.4348030090332
2018-12-14 17:47:17.234820=357.35321044921875
2018-12-14 17:47:17.420750=342.9732322692871
2018-12-14 17:47:17.646143=365.60821533203125
2018-12-14 17:47:17.842277=362.6558780670166
2018-12-14 17:47:18.054729=373.2748031616211
2018-12-14 17:47:18.260776=377.41899490356445
2018-12-14 17:47:18.465816=381.8392753601074
2018-12-14 17:47:18.628589=343.9972400665283
2018-12-14 17:47:18.862461=377.6235580444336
2018-12-14 17:47:19.028969=342.7865505218506
2018-12-14 17:47:19.240551=352.83684730529785
2018-12-14 17:47:19.457127=366.8971061706543
2018-12-14 17:47:19.646137=357.73324966430664
2018-12-14 17:47:19.849719=360.10074615478516
2018-12-14 17:47:20.034952=344.8309898376465
2018-12-14 17:47:20.248044=356.67920112609863
2018-12-14 17:47:20.467812=375.9758472442627
2018-12-14 17:47:20.636569=343.80531311035156
